"artist_name","verification_status","confidence_score","genres","notes"
"$NOT","PROBABLE","65","Hip-Hop, Trap, Rage","Edy Edgar Echelus. Parents haïtiens évoqués. Sources à confirmer."
"4 Let Nan Pwen","PROBABLE","68","Compas","Groupe compas haïtien."
"5Lan (Dols)","PROBABLE","72","Compas","Membre du groupe 5Lan. Sources limitées."
"Adorons l'Éternel","PROBABLE","72","Gospel, Worship","Groupe worship haïtien. Sources limitées."
"Alain Jean-Pierre","PROBABLE","72","Compas, Jazz","Musicien haïtien compas/jazz."
"Alex Abélard","PROBABLE","72","Compas","Musicien compas haïtien."
"Alex Volcy","PROBABLE","70","Compas","Artiste compas haïtien."
"Alix Pascal","PROBABLE","70","Compas","Musicien compas haïtien historique."
"Allen Kass","PROBABLE","72","Compas, Pop","Artiste compas haïtien émergent."
"Althéa Jean","PROBABLE","72","Pop, World","Chanteuse haïtienne diaspora. Sources limitées."
"Archie Eversole","PROBABLE","60","Hip-Hop, Crunk","Rappeur Atlanta. Origine haïtienne parfois mentionnée. Décédé 2022."
"Awozam","PROBABLE","68","Racine","Groupe racine haïtien. Sources limitées."
"Bandi Legal","PROBABLE","72","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Bato","PROBABLE","70","Rabòday, Rap Kreyòl","Artiste rabòday haïtien. Sources limitées."
"Beethova Edmond","PROBABLE","70","Compas","Musicien compas haïtien."
"Beethoven (compas)","PROBABLE","70","Compas, Pop","Artiste compas haïtien. Ne pas confondre avec Beethova Obas."
"Bel Jazz","PROBABLE","68","Compas, Jazz","Groupe compas/jazz haïtien. Sources limitées."
"Bel Plezi","PROBABLE","70","Compas","Groupe compas haïtien."
"Bélé Bélé","PROBABLE","68","Compas, Pop","Artiste compas haïtien émergent. Sources limitées."
"Belo (jeune génération)","PROBABLE","65","Compas, Pop","Homonyme potentiel avec BelO (batch-001). À clarifier."
"Bertrand Desprez (MC)","PROBABLE","65","Hip-Hop","Rappeur diaspora France. Sources limitées."
"Béthanie (groupe gospel)","PROBABLE","70","Gospel","Groupe gospel haïtien."
"Black Parents (lead vocal)","PROBABLE","68","Compas","Vocaliste Black Parents."
"Bòs TV","PROBABLE","70","Rabòday","Artiste rabòday haïtien. Sources limitées."
"Bro Michel Louis","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Brothers (groupe Cap)","PROBABLE","68","Compas","Groupe compas Cap-Haïtien. Sources limitées."
"Brothers of the Drum (Haiti)","PROBABLE","68","Racine, Percussion","Collectif percussionnistes haïtiens. Sources limitées."
"Bub Styles","PROBABLE","68","Hip-Hop","Rappeur diaspora haïtienne. Sources limitées."
"Carl-Henry Desmornes","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Cassha","PROBABLE","68","Rap Kreyòl, Trap","Rappeur haïtien émergent. Sources limitées."
"Castera Bazile","PROBABLE","68","Chanson","Artiste haïtien historique. Sources limitées."
"Chabba","PROBABLE","70","Compas, Pop","Artiste compas haïtien nouvelle génération."
"Chal","PROBABLE","70","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Chal Gason","PROBABLE","70","Twoubadou","Artiste twoubadou haïtien."
"Chandèl","PROBABLE","72","Racine, Vodou rock","Groupe racine haïtien."
"Clever","PROBABLE","72","Hip-Hop, Trap","Rappeur floridien. Origine haïtienne évoquée."
"Coupé Cloué II","PROBABLE","72","Compas","Fils de Coupé Cloué. Artiste compas continuant l'héritage paternel."
"Coupé Cloué Jr","PROBABLE","70","Compas","Fils de Coupé Cloué. Peu de sources indépendantes."
"Cubano","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Dady (Les Cayes)","PROBABLE","68","Compas","Artiste compas régional Les Cayes. Sources limitées."
"Daly","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Daniel Estimé","PROBABLE","70","Gospel","Artiste gospel haïtien."
"Daphnée Charles","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"David Dupont Bongarde","PROBABLE","68","Compas","Artiste compas. Sources limitées."
"D-Fi","PROBABLE","68","Compas","Groupe compas haïtien."
"DJ Swetty Tet","PROBABLE","70","DJ, Rabòday","DJ rabòday haïtien. Sources limitées."
"Djazz La","PROBABLE","68","Compas, Jazz","Formation compas/jazz haïtienne. Sources limitées."
"Djo Lissaint","PROBABLE","68","Twoubadou, Compas","Artiste haïtien historique. Sources insuffisantes."
"Dòf","PROBABLE","68","Compas","Artiste compas. Sources limitées."
"Dread Jimi","PROBABLE","70","Reggae","Artiste reggae haïtien. Sources limitées."
"Dread Pyè","PROBABLE","70","Reggae, Racine","Artiste reggae haïtien. Sources limitées."
"Dro (producteur HT)","PROBABLE","65","Production, Trap","Producteur haïtien. Sources limitées."
"Dro Fe","PROBABLE","65","Hip-Hop, Trap","Rappeur diaspora haïtienne. Sources limitées."
"Dutty","PROBABLE","70","Rap Kreyòl","Rappeur haïtien. Ne pas confondre avec Dutty Boukman Eksperyans (batch-005)."
"Eddy Brisseaux","PROBABLE","72","Compas","Musicien compas haïtien."
"Eliézer","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Élisabeth Préval","PROBABLE","68","Compas, Pop","Artiste haïtienne. Sources limitées."
