artist_name,previous_status,final_status,searches_performed,haitian_evidence_found,haitian_evidence_title,haitian_evidence_url,music_evidence_found,music_evidence_title,music_evidence_url,confidence_score_before,confidence_score_after,decision_reason,verification_date
Tonymix,PROBABLE,DUPLICATE,3,yes,Haiti Wonderland biography,https://haitiwonderland.com/haiti/music/tony-mix-haiti-s-1-essential-dj/468,yes,same as Tony Mix,https://haitiwonderland.com/haiti/music/tony-mix-haiti-s-1-essential-dj/468,75,0,Same person as Tony Mix (batch-001). Tony Mahotière born Port-au-Prince.,2026-07-07
Coupé Cloué Jr,PROBABLE,INSUFFICIENT_EVIDENCE,3,no,,,no,,,70,35,No independent sources found for a Jr. All results reference the father (1925-1998).,2026-07-07
Garcia Delva,PROBABLE,VERIFIED,4,yes,Last.fm biography + Haitian Times,https://www.last.fm/music/Gracia+Delva/+wiki,yes,Le Nouvelliste Mass Konpa article,https://lenouvelliste.com/en/article/259133/mass-konpa-la-base-de-gracia-delva,70,88,Gracia Delva born Nov 20 1973 Marchand Dessalines Haiti. Lead singer Mass Konpa. Wikidata Q24578978.,2026-07-07
Roach,PROBABLE,INSUFFICIENT_EVIDENCE,3,no,,,no,,,72,30,No Haitian rapper named Roach found. Results only show Roach Gigz (San Francisco).,2026-07-07
Sarodj Bertin,PROBABLE,VERIFIED,3,yes,Wikipedia + sarodjbertin.net,https://en.wikipedia.org/wiki/Sarodj_Bertin,yes,Official music site + Genius + Apple Music,https://sarodjmusic.com/,72,85,Born Port-au-Prince April 4 1986. Active recording artist (singles Bla Bla Bla etc). Wikipedia confirmed.,2026-07-07
Jocelyne Béroard,PROBABLE,REJECTED,3,no,,,yes,Kassav Wikipedia,https://en.wikipedia.org/wiki/Jocelyne_B%C3%A9roard,72,0,Born Fort-de-France MARTINIQUE not Haiti. No Haitian heritage documented. Martiniquaise.,2026-07-07
Djo Lissaint,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,35,No credible sources found confirming identity or Haitian origin independently.,2026-07-07
G-Unit Haiti,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,65,30,No independent sources confirming this group exists with documented discography.,2026-07-07
Fatima,PROBABLE,AMBIGUOUS,2,no,,,no,,,72,50,Name too generic. Multiple Fatimas exist. Cannot confirm which is Haitian artist without more info.,2026-07-07
Kompa direct,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,35,Confusion with the genre name. No distinct group named Kompa Direct confirmed.,2026-07-07
Kadans,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,35,No distinct artist/group named Kadans confirmed independently. Possible genre confusion.,2026-07-07
Oswald,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,30,Name too generic. No Haitian artist named Oswald confirmed with sources.,2026-07-07
Tonton Bicha,PROBABLE,VERIFIED,3,yes,Known Haitian comedian/musician,https://www.viberate.com/music-charts/top-artists-from-haiti/,yes,Active on streaming platforms,https://open.spotify.com/artist/2SnRjLeHOYpq15cE2HLSbP,72,80,Haitian comedian AND musician with active discography on Spotify. Dual career documented.,2026-07-07
Tjooze,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,35,No credible sources found.,2026-07-07
Nu Vice,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,30,Possible confusion with T-Vice or Nu Look. No independent group confirmed.,2026-07-07
Dòf,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,30,No sources found.,2026-07-07
David Dupont Bongarde,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,30,No sources found.,2026-07-07
Sheldon Senior,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,30,No sources found confirming Haitian identity.,2026-07-07
Kompa Magazine Band,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,30,No independent confirmation.,2026-07-07
Karaoké Band,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,65,25,No sources found. Likely not a real established band.,2026-07-07
Gary French,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,30,No sources found.,2026-07-07
Jean Thomas (Ti-Jean),PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,35,Historical twoubadou artist but no independent sources confirming details found.,2026-07-07
James The Prophet,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,70,30,No sources confirming Haitian origin independently.,2026-07-07
Maestro,PROBABLE,AMBIGUOUS,2,no,,,no,,,68,45,Name too generic. Multiple artists. Cannot confirm which is Haitian.,2026-07-07
Val,PROBABLE,INSUFFICIENT_EVIDENCE,2,no,,,no,,,68,30,Name too generic. No confirmation.,2026-07-07
