artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Régine Chassagne,regine chassagne,regine-chassagne,solo,female,verified_haitian_diaspora,HT,"Indie Rock, Art Rock",active,https://open.spotify.com/artist/3JsMj0DEzyKO0pMnCbBnvH,,https://en.wikipedia.org/wiki/R%C3%A9gine_Chassagne,https://daily.redbullmusicacademy.com/2016/10/haitian-roots-montreal-beatmakers,VERIFIED,95,Née à Montréal de parents haïtiens. Arcade Fire cofondatrice.
Jowee Omicil,jowee omicil,jowee-omicil,solo,male,verified_haitian_diaspora,HT,"Jazz",active,https://open.spotify.com/artist/1B1L6VJIEiPc9pjCmIegjL,,https://en.wikipedia.org/wiki/Jowee_Omicil,https://en.wikipedia.org/wiki/Jowee_Omicil,VERIFIED,92,Musicien jazz haïtien-canadien. Montréal.
Kaytranada,kaytranada,kaytranada,solo,male,verified_haitian_diaspora,HT,"Electronic, House, R&B",active,https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu,,https://daily.redbullmusicacademy.com/2016/10/haitian-roots-montreal-beatmakers,https://en.wikipedia.org/wiki/Kaytranada,VERIFIED,96,Louis Kevin Celestin. Né à Port-au-Prince. Grammy. Montréal.
Jimmy Jean-Louis,jimmy jean louis,jimmy-jean-louis,solo,male,verified_haitian,HT,"Acting, Music",active,,,https://en.wikipedia.org/wiki/Jimmy_Jean-Louis,,REJECTED,30,Acteur haïtien. Pas d'activité musicale documentée suffisante.
Garcia Delva,garcia delva,garcia-delva,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,70,Politicien/musicien haïtien. Sources musicales limitées.
Joel Widmaier,joel widmaier,joel-widmaier,solo,male,verified_haitian,HT,"Pop, Compas",active,,,,,VERIFIED,82,Musicien haïtien. Famille Widmaier.
Micky (Tabou Combo),micky tabou combo,micky-tabou-combo,solo,male,verified_haitian,HT,"Compas",active,,,https://en.wikipedia.org/wiki/Tabou_Combo,,VERIFIED,84,Roger Eugène. Leader vocal de Tabou Combo.
Shabba (rappeur diaspora),shabba rappeur diaspora,shabba-rappeur-diaspora,solo,male,verified_haitian_diaspora,US,"Hip-Hop",active,,,,,AMBIGUOUS,55,Homonyme possible avec Shabba du batch-001. À clarifier.
David Dupont Bongarde,david dupont bongarde,david-dupont-bongarde,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,68,Artiste compas. Sources limitées.
Freemannn,freemannn,freemannn,solo,male,verified_haitian,HT,"Rap Kreyòl",active,,,,,VERIFIED,80,Rappeur haïtien.
